KP_index,KP_textid,KP_textid2,KP_textid3,L1_index,L1_textid,L2_index,L2_textid,L3_index,L3_textid
71,1578,nad:m8.3,https://nad-m8-v1#/id/5ce907606e2d48f2952cc5aacd966cc4,1,cse3,2,nad,18,https://nad-m8-v1
72,2161,nad:m8.4,https://nad-m8-v1#/id/b960dbe66d7f4b24bd5d7fc6db1852d8,1,cse3,2,nad,18,https://nad-m8-v1
73,2188,nad:m8.5,https://nad-m8-v1#/id/43b90f07ef774a61b3bc5b003cf15751,1,cse3,2,nad,18,https://nad-m8-v1
74,2172,nad:m8.6,https://nad-m8-v1#/id/1052359d006a47828bd9a6649340c6ec,1,cse3,2,nad,18,https://nad-m8-v1
75,1581,nad:m8.7,https://nad-m8-v1#/id/39e3959b38ea46f7bd1928fa4ee42798,1,cse3,2,nad,18,https://nad-m8-v1
76,1590,nad:m9.1,https://nad-m9-v1#/id/81bb4680751346aab43357f5eb3dd4f0,1,cse3,2,nad,19,https://nad-m9-v1
77,1591,nad:m9.2,https://nad-m9-v1#/id/7bd8b3b8089e412496166e481ca2728a,1,cse3,2,nad,19,https://nad-m9-v1
78,1592,nad:m10.1,https://Network-Essentials-module-8-the-internet-protocol-ga#/id/5cbb436e56044154a7d04bf03e6733f1,1,cse3,2,nad,20,https://Network-Essentials-module-8-the-internet-protocol-ga
79,1593,nad:m10.2,https://Network-Essentials-module-8-the-internet-protocol-ga#/id/691e2584d598401aaf01ddd5c32b3e06,1,cse3,2,nad,20,https://Network-Essentials-module-8-the-internet-protocol-ga
80,2162,nad:m10.3,https://Network-Essentials-module-8-the-internet-protocol-ga#/id/cc5f88e9e6d24b33aca8958229ba926e,1,cse3,2,nad,20,https://Network-Essentials-module-8-the-internet-protocol-ga
81,1613,nad:m11.1,https://nad-m11-v1#/id/1d1a47b59f064110b838ebced05b658a,1,cse3,2,nad,21,https://nad-m11-v1
82,1614,nad:m11.2,https://nad-m11-v1#/id/a665e0e00e1047b2a0a080f7c06a9da7,1,cse3,2,nad,21,https://nad-m11-v1
83,2163,varmir:m1.1,https://varmir-m1-v1#/id/9415568f4cdf43cc95f6259e75b47ff6,1,cse3,3,varmir,22,https://varmir-m1-v1
