question_textid,PKSmodel_index,total_attempts,proportionCorrect,continuousPKSdifficulty,discretePKSdifficulty,difficultyRatingConfidence
228202,74,733,0.823,0.805,19,High
22a3afb1890e4cebb7ae5baadb9bd9bc,75,496,0.625,0.608,39,High
22dcb36708024748a63d914c223c0c62,76,601,0.632,0.63,37,High
22ef798a88b4447a9c6e320f14648f9e,77,608,0.599,0.525,48,High
233072,78,528,0.697,0.57,43,High
233143,79,534,0.77,0.661,34,High
233521,80,646,0.625,0.501,50,High
233524,81,662,0.716,0.601,40,High
233527,82,646,0.649,0.505,49,High
233528,83,522,0.799,0.686,31,High
233529,84,591,0.721,0.541,46,High
233531,85,625,0.683,0.512,49,High
233535,86,558,0.643,0.536,46,High
233542,87,599,0.785,0.625,37,High
233544,88,521,0.802,0.703,30,High
233551,89,846,0.798,0.652,35,High
233552,90,480,0.781,0.631,37,High
233553,91,460,0.628,0.445,55,High
233554,92,650,0.649,0.533,47,High
233555,93,645,0.572,0.499,50,High
233556,94,560,0.682,0.534,47,High
233557,95,586,0.751,0.628,37,High
233560,96,675,0.545,0.421,58,High
233561,97,504,0.603,0.557,44,High
235106,98,377,0.629,0.414,59,High
235934,99,334,0.704,0.57,43,High
235936,100,485,0.794,0.671,33,High
235942,101,399,0.699,0.555,44,High
235988,102,473,0.702,0.618,38,High
235992,103,506,0.621,0.518,48,High
235994,104,507,0.45,0.289,71,High
235995,105,445,0.461,0.336,66,High
236006,106,528,0.746,0.7,30,High
236817,107,558,0.778,0.642,36,High
236827,108,732,0.773,0.688,31,High
236840,109,643,0.635,0.491,51,High
237002,110,571,0.82,0.771,23,High
237011,111,747,0.78,0.712,29,High
238596,112,540,0.885,0.836,16,High
241805,113,428,0.654,0.471,53,High
241811,114,517,0.704,0.593,41,High
241815,115,492,0.654,0.487,51,High
241913,116,653,0.564,0.467,53,High
243970,117,567,0.857,0.776,22,High
246225,118,614,0.687,0.637,36,High
247473,119,654,0.927,0.923,8,High
24ee664d80ef409394682bd699cf5ac4,120,380,0.692,0.607,39,High
251752,121,597,0.672,0.547,45,High
264419,122,588,0.75,0.681,32,High
264460,123,625,0.611,0.501,50,High
264461,124,521,0.787,0.664,34,High
266df8c2f0524c16adf232dd7f0c9efe,125,365,0.679,0.594,41,High
267912,126,799,0.827,0.822,18,High
27076aa723294d4fa467618f945371b4,127,433,0.672,0.578,42,High
271058,128,358,0.453,0.314,69,High
271210,129,610,0.651,0.627,37,High
271239,130,642,0.667,0.583,42,High
271269,131,850,0.796,0.75,25,High
271273,132,809,0.799,0.786,21,High
271299,133,621,0.895,0.896,10,High
271303,134,680,0.818,0.812,19,High
271309,135,542,0.771,0.715,28,High
271315,136,391,0.547,0.365,63,High
272028,137,823,0.835,0.824,18,High
272040,138,417,0.626,0.446,55,High
272060,139,713,0.616,0.571,43,High
272083,140,970,0.763,0.629,37,High
272086,141,677,0.805,0.675,32,High
272088,142,704,0.716,0.648,35,High
272093,143,575,0.786,0.608,39,High
272124,144,605,0.684,0.548,45,High
272134,145,540,0.656,0.568,43,High
272168,146,495,0.778,0.625,37,High
272185,147,455,0.851,0.774,23,High
272239,148,704,0.915,0.903,10,High
272240,149,554,0.93,0.886,11,High
272242,150,606,0.845,0.805,19,High
272254,151,477,0.744,0.574,43,High
272325,152,699,0.672,0.541,46,High
272372,153,829,0.885,0.818,18,High
272378,154,605,0.673,0.536,46,High
272381,155,496,0.796,0.74,26,High
272387,156,479,0.729,0.574,43,High
272395,157,825,0.684,0.547,45,High
272396,158,663,0.739,0.588,41,High
272399,159,584,0.723,0.573,43,High
272400,160,463,0.702,0.617,38,High
272401,161,500,0.616,0.538,46,High
272429,162,558,0.83,0.756,24,High
272438,163,795,0.87,0.769,23,High
272439,164,574,0.883,0.81,19,High
272529,165,824,0.795,0.641,36,High
272559,166,781,0.676,0.625,37,High
273102,167,440,0.832,0.744,26,High
273161,168,496,0.619,0.398,60,High
273186,169,770,0.571,0.457,54,High
274083,170,539,0.631,0.469,53,High
274251,171,533,0.792,0.708,29,High
274291,172,800,0.76,0.731,27,High
274310,173,513,0.84,0.804,20,High
274332,174,709,0.794,0.757,24,High
274333,175,569,0.684,0.598,40,High
274541,176,645,0.798,0.764,24,High
274554,177,555,0.683,0.583,42,High
275544,178,483,0.905,0.807,19,High
275552,179,590,0.79,0.754,25,High
275737,180,506,0.85,0.782,22,High
276511,181,734,0.877,0.826,17,High
277907,182,452,0.808,0.719,28,High
277913,183,472,0.886,0.799,20,High
278003,184,426,0.695,0.589,41,High
278679,185,541,0.688,0.547,45,High
279196,186,558,0.652,0.551,45,High
279425,187,551,0.697,0.592,41,High
281199,188,767,0.939,0.93,7,High
281333,189,575,0.677,0.526,47,High
281850,190,538,0.652,0.545,45,High
282178,191,552,0.83,0.749,25,High
282181,192,568,0.708,0.596,40,High
283327,193,553,0.823,0.734,27,High
283328,194,426,0.681,0.51,49,High
283330,195,682,0.9,0.891,11,High
283333,196,559,0.631,0.523,48,High
283336,197,409,0.641,0.53,47,High
283337,198,399,0.737,0.6,40,High
283342,199,428,0.832,0.708,29,High
283344,200,425,0.758,0.615,38,High
283347,201,605,0.795,0.727,27,High
283500,202,512,0.918,0.903,10,High
283505,203,756,0.885,0.869,13,High
283515,204,812,0.671,0.603,40,High
283517,205,500,0.756,0.639,36,High
283518,206,608,0.893,0.899,10,High
283532,207,633,0.668,0.566,43,High
283533,208,780,0.756,0.677,32,High
283535,209,507,0.688,0.546,45,High
283536,210,525,0.827,0.772,23,High
283537,211,450,0.84,0.722,28,High
283592,212,1470,0.864,0.857,14,High
283593,213,1224,0.794,0.725,27,High
283594,214,915,0.894,0.771,23,High
283596,215,586,0.875,0.823,18,High
283608,216,530,0.677,0.577,42,High
283748,217,653,0.799,0.802,20,High
283751,218,455,0.749,0.623,38,High
283752,219,482,0.737,0.641,36,High
283753,220,505,0.747,0.613,39,High
283755,221,895,0.778,0.742,26,High
283777,222,680,0.782,0.81,19,High
283785,223,456,0.664,0.5,50,High
283786,224,499,0.768,0.652,35,High
283791,225,796,0.749,0.633,37,High
283793,226,614,0.616,0.505,49,High
284448,227,513,0.842,0.819,18,High
284449,228,597,0.647,0.481,52,High
284454,229,540,0.785,0.758,24,High
284463,230,266,0.684,0.555,44,High
284466,231,603,0.823,0.8,20,High
284468,232,556,0.746,0.69,31,High
284472,233,707,0.813,0.818,18,High
284473,234,534,0.689,0.597,40,High
284474,235,794,0.669,0.581,42,High
284478,236,703,0.856,0.868,13,High
284479,237,863,0.619,0.574,43,High
284487,238,584,0.822,0.735,26,High
284488,239,584,0.724,0.611,39,High
284489,240,307,0.759,0.666,33,High
284491,241,478,0.734,0.597,40,High
284495,242,558,0.858,0.726,27,High
284515,243,466,0.755,0.677,32,High
284516,244,1104,0.861,0.785,21,High
284517,245,1107,0.855,0.762,24,High
284518,246,1008,0.938,0.9,10,High
284519,247,847,0.779,0.662,34,High
284524,248,535,0.822,0.741,26,High
284530,249,710,0.856,0.862,14,High
284532,250,569,0.759,0.644,36,High
284533,251,556,0.748,0.665,33,High
284545,252,537,0.726,0.652,35,High
284546,253,843,0.874,0.853,15,High
284547,254,464,0.832,0.741,26,High
284549,255,460,0.824,0.677,32,High
284550,256,371,0.892,0.79,21,High
284554,257,532,0.699,0.558,44,High
284555,258,578,0.619,0.432,57,High
284570,259,627,0.791,0.767,23,High
284573,260,600,0.547,0.566,43,High
284579,261,505,0.727,0.641,36,High
284580,262,706,0.755,0.618,38,High
284581,263,548,0.843,0.724,28,High
284585,264,528,0.621,0.449,55,High
284588,265,471,0.83,0.74,26,High
284590,266,577,0.919,0.867,13,High
284591,267,584,0.913,0.848,15,High
284592,268,622,0.77,0.728,27,High
284593,269,537,0.786,0.706,29,High
284595,270,544,0.752,0.615,38,High
284596,271,691,0.789,0.786,21,High
284599,272,649,0.815,0.814,19,High
284600,273,570,0.925,0.876,12,High
284602,274,530,0.836,0.794,21,High
284605,275,1181,0.632,0.541,46,High
286125,276,608,0.817,0.774,23,High
286793,277,713,0.849,0.78,22,High
2876aa5acab84d1683c0ddb3f7534ba3,278,464,0.642,0.623,38,High
289732,279,1041,0.776,0.657,34,High
28a7241aa5c3485f93714f1d00dae1e1,280,496,0.629,0.59,41,High
293096,281,605,0.651,0.552,45,High
293914,282,646,0.882,0.814,19,High
293917,283,476,0.855,0.834,17,High
294157,284,874,0.854,0.861,14,High
294160,285,601,0.654,0.496,50,High
294161,286,504,0.74,0.67,33,High
294163,287,576,0.71,0.639,36,High
294165,288,590,0.863,0.765,23,High
294166,289,592,0.757,0.685,31,High
294167,290,537,0.778,0.672,33,High
294168,291,576,0.948,0.94,6,High
294169,292,673,0.929,0.926,7,High
294171,293,371,0.598,0.433,57,High
294207,294,751,0.78,0.744,26,High
296568,295,518,0.79,0.652,35,High
296571,296,912,0.852,0.753,25,High
296572,297,607,0.751,0.584,42,High
296586,298,552,0.592,0.5,50,High
296864,299,595,0.782,0.721,28,High
296865,300,604,0.684,0.532,47,High
296866,301,568,0.752,0.676,32,High
297114,302,645,0.772,0.687,31,High
297119,303,719,0.752,0.658,34,High
297122,304,488,0.834,0.782,22,High
297123,305,622,0.641,0.517,48,High
297124,306,503,0.819,0.736,26,High
297686,307,632,0.831,0.746,25,High
297688,308,464,0.821,0.74,26,High
297691,309,574,0.768,0.708,29,High
297701,310,511,0.865,0.814,19,High
297734,311,421,0.853,0.778,22,High
297735,312,501,0.511,0.349,65,High
297743,313,380,0.832,0.814,19,High
297744,314,505,0.784,0.724,28,High
297747,315,340,0.829,0.765,23,High
297749,316,567,0.758,0.671,33,High
297750,317,576,0.694,0.583,42,High
297751,318,503,0.865,0.789,21,High
297758,319,414,0.633,0.512,49,High
297760,320,625,0.656,0.523,48,High
297761,321,652,0.529,0.48,52,High
297763,322,795,0.916,0.885,11,High
298794,323,480,0.827,0.733,27,High
298795,324,686,0.813,0.75,25,High
298796,325,367,0.858,0.773,23,High
298798,326,584,0.877,0.869,13,High
298799,327,398,0.927,0.856,14,High
299109,328,768,0.645,0.653,35,High
299110,329,762,0.879,0.856,14,High
299112,330,505,0.754,0.76,24,High
299113,331,760,0.746,0.653,35,High
299114,332,743,0.787,0.754,25,High
299115,333,790,0.701,0.68,32,High
299116,334,793,0.671,0.591,41,High
299140,335,823,0.769,0.737,26,High
299142,336,789,0.531,0.463,54,High
299143,337,564,0.846,0.828,17,High
299144,338,745,0.764,0.695,30,High
299147,339,592,0.745,0.782,22,High
299150,340,519,0.848,0.734,27,High
299151,341,517,0.865,0.77,23,High
299153,342,557,0.623,0.455,54,High
299154,343,495,0.844,0.777,22,High
299155,344,581,0.733,0.671,33,High
299157,345,485,0.668,0.514,49,High
299158,346,507,0.822,0.69,31,High
299159,347,621,0.715,0.603,40,High
299160,348,539,0.599,0.489,51,High
299162,349,509,0.79,0.679,32,High
299163,350,608,0.752,0.636,36,High
299164,351,503,0.624,0.481,52,High
299166,352,533,0.803,0.72,28,High
299168,353,482,0.844,0.734,27,High
