question_index,question_textid,KP_index,deltaMeanZShiftCorrect,deltaMeanZShiftIncorrect,centerValue,iqta,weights_1,weights_2,weights_3,weights_4,inTestBank
263,284581,96,0.0912202449734554,-0.389152684667482,0.946905555439848,0,0.669567035784908,0.0298316778558055,0.214861764497807,0.0787205992580618,1
264,284585,96,-0.024887413995073,0.024509644978386,-0.0073837421382168,0,0.501149535784909,-0.203501423090715,-0.149342693140189,-0.157942571025114,1
265,284588,102,0.0251819556035845,-0.0942407552331047,0.840655969552234,0,0.316130160784908,-0.125669023438514,0.0197138382046838,0.0136701329286749,1
266,284590,42,0.026061809097661,-0.267560745514942,1.38835478422222,0,0.409807660784908,0.307114506720335,0.1158712105613,-0.361837391866283,1
267,284591,44,0.0250131384387418,-0.187322168969222,1.20920989582477,0,0.267839535784908,0.136909196783318,-0.0672932166633705,0.00457158523765478,1
268,284592,44,0.0596772930471016,-0.213555174961698,0.816387576170527,0,0.436257035784908,0.135082714584128,0.104842030588745,-0.153890173956342,1
269,284593,49,0.0420311406446337,-0.130262636583555,0.763802659308103,0,0.478172035784908,0.0407905710509454,-0.0686887904670435,-0.0743178625894975,1
270,284595,40,-0.0259834890747635,0.0664182444216597,0.504586175060591,0,0.564061693872818,-0.35871979318109,-0.0736002088676081,-0.210603280757227,1
271,284596,42,0.0525046068503426,-0.262202744791049,1.02299426969798,0,0.434726254534908,0.307114506720335,-0.14659889594322,-0.00135933641744859,1
272,284599,46,0.0243517156454952,-0.154291691954944,1.16337768067872,0,0.408797660784908,0.0371376066525654,-0.149357335522491,0.0350543427574323,1
273,284600,83,0.0291622565202895,-0.349222018515818,1.48711686181006,0.00734620512915476,0.465988910784908,0.204232189094086,0.0181532179905815,-0.0597194982973043,1
274,284602,86,0.0285428244271223,-0.156738265606027,1.12026254180176,0,0.493953285784908,0.0334846422541854,-0.0692301918681283,-0.0711411396407939,1
275,284605,83,0.0738001241567786,-0.108903439523919,0.286783109086513,0,0.633712035784908,-0.192542529895575,0.0181532179905815,0.031619542551907,1
276,286125,12,0.0607756334053017,-0.267546539466981,0.930880234628917,0,0.416940785784909,0.146041607779268,0.0126363388320395,0.0211026149630206,1
277,286793,76,0.0579923422392086,-0.278775751312157,0.967174796138442,0,0.325157035784908,0.0499229820468953,0.188486862010564,0.0149989876045245,1
278,2876aa5acab84d1683c0ddb3f7534ba3,80,0.0793677305263779,-0.157073120445091,0.435639459534507,0,0.113268968087017,0.317769450421508,-0.0152008487939683,0.0293612108030007,0
279,289732,52,0.0843305093658836,-0.215532378059023,0.623168595581248,0,0.539782035784908,0.0407905710509454,0.0250493169387589,0.0270866639298936,1
280,28a7241aa5c3485f93714f1d00dae1e1,72,0.10116015074351,-0.15766044520751,0.324291079546051,0,0.245725625415698,0.74075680124714,-0.274439542723985,-0.00762097788385394,0
281,293096,29,0.0472115729211051,-0.0700130210210666,0.258433613973943,0,0.367249655589284,-0.257528805378774,0.0127666005688427,0.114478880596093,1
282,293914,7,0.042231161314958,-0.219790650831729,1.02505068165935,0,0.326072348284908,0.268729841752983,-0.155283670556081,0.0225537853078802,1
283,293917,29,0.0369501954086913,-0.275898767083795,1.24797985384643,0,0.478519223284908,0.0463556340016024,0.0153371525417008,0.0223571490026894,1
284,294157,38,0.0195839124313603,-0.193372192625409,1.44543238831565,0,0.506262660784908,0.0566984907811707,-0.073392495546474,-0.0760363247209116,1
285,294160,11,0.0111341914457865,-0.0114011352582121,0.0903418911633367,0,0.704261042370995,-0.483649194611809,-0.0676430462340479,0.0210436472919115,1
286,294161,11,0.0514763585531305,-0.117242491711473,0.52470968067419,0,0.209764535784908,0.298816855166983,-0.215898574379218,0.0237442752013439,1
287,294163,11,0.0842293997811543,-0.182139936398924,0.509089436638848,0,0.436414848284909,-0.0749627383227197,-0.0720067794192578,0.256523758018943,1
288,294165,76,0.048057936559271,-0.219593417444862,0.957551748750631,0,0.412522035784908,0.0389640888517554,0.0250418481543932,0.0149989876045245,1
289,294166,12,0.0232299961831508,-0.0588364365783639,0.616407200561609,0,0.332732035784908,-0.114517493448928,-0.159016936446361,0.110038034791666,1
290,294167,12,0.063038396374413,-0.160052534606133,0.613958563375021,0,0.452701098284908,-0.114517493448928,0.0981319281399768,0.0211589136988888,1
291,294168,12,0.0165482733623548,-0.574536197880172,1.97993022113029,0.00846703568229197,0.490875942034908,0.329535289185001,0.0126428351696202,0.0239818067866539,1
